,Season4
0,116.95158486554716
1,7.892455878234001
2,11.579147087468202
3,5.0623906281185755
4,46.24286467925119
5,0.6639189567170176
6,51.86373164986999
7,57.23315348059428
8,84.93492251150624
9,95.67569674187457
10,24.784105825810595
11,8.25797052539406
12,3.0526886525011796
13,0.5716337258108342
14,0.00011228237107682562
15,1.3424832387335
16,4.242496836025829
17,6.996978808591347
18,4.146134223663005
19,2.875308130081878
20,2.26190296115627
21,1.8368173898036906
22,1.5266471130862378
23,1.2966948876865814
24,1.1238859013506735
25,0.9923121880362636
26,0.8910527030427474
27,0.8123250434663555
28,0.7505931945695171
29,0.7018280042254457
30,0.6630306479146403
31,0.6320227021370236
32,0.6071151036152359
33,0.5870229661975709
34,0.5707698167408961
35,0.5575868625852605
36,0.5468859790542344
37,0.5381799400609507
38,0.5310956032694395
39,0.5253334237069134
40,0.5243150048251316
41,0.5188008051933576
42,0.5156397899218065
43,0.5130477335606409
44,0.5109549566867503
45,0.5092733590125432
46,0.5079298978061572
47,0.5068655296350121
48,0.5060373191158152
49,0.5053873990659571
50,0.5048937488457352
51,0.5045212469949125
52,0.5042626488126065
53,0.504096537713528
54,0.5039940935071213
55,0.5039556352960867
56,0.5039669382495828
57,0.5040208949324132
58,0.5041029542079736
59,0.5042064218879807
60,0.22711541753802092
61,0.2633461593982477
62,0.941878497205878
63,5.744961459859605
64,17.675641738719904
65,23.168048405842818
66,35.25217992564819
67,59.801698659992375
68,26.492558939507056
69,0.27761623266184765
70,0.536961752367797
71,0.33959204555652495
72,1.8888341934547448
73,2.0425154598929205
74,4.0629901272275175
75,8.378729118732457
76,10.52275324258804
77,7.186161248035596
78,1.0220992708934333
79,0.36983558795097
80,0.3173064124400346
81,0.279947713279018
82,0.00160897775722906
83,0.0005918688059625753
84,0.09505363046906184
85,0.11393240733042254
86,0.05176374092711024
87,0.5775541924232013
88,0.27867521837577053
89,1.4815076802483964
90,2.666587172377334
91,3.3561138866682647
92,1.638233704347338
93,1.0074013780172273
94,4.58940677657677
95,0.42324427790535746
96,0.667698109141396
97,2.890842432593389
98,0.8078293448504698
99,2.6244216436949577
100,0.2220653195147228
101,3.549796605574222
102,10.658333364824228
103,27.93718502336411
