,Season 1,Season 2,Season 3,Season 4
0,0.018936517914141495,7.850222115309749,7.850222115309749,0.8954621854163695
1,2.3262639712425524e-05,0.009478102093199828,0.009478102093199828,168.0594616354656
2,1.3551303462156532e-07,0.00010397501707609474,0.00010397501707609474,2.964402916024609
3,1.3551303462042098e-07,3.448434003072565e-08,3.448434003072565e-08,0.013904893579050892
4,1.355130346186227e-07,3.448434003072565e-08,3.448434003072565e-08,0.8883235482231835
5,1.3551303461911313e-07,3.4484340032045125e-08,3.4484340032045125e-08,86.86944660701829
6,1.3551303461894965e-07,3.448434003196266e-08,3.448434003196266e-08,11.479167602176913
7,1.356647209233886e-07,3.448434003014838e-08,3.448434003014838e-08,61.87334060072436
8,1.356647209235522e-07,3.448434003072565e-08,3.448434003072565e-08,17.2007745279814
9,1.3566472092060793e-07,3.4484340032704864e-08,3.4484340032704864e-08,15.176808091321119
10,1.3566472092469717e-07,3.4484340032045125e-08,3.4484340032045125e-08,8.059419651179635
11,1.3566472092208005e-07,3.4547363243221955e-08,3.4547363243221955e-08,9.147456745556799
12,1.356647209207715e-07,3.454736324520298e-08,3.454736324520298e-08,11.32264242311176
13,1.356647209219165e-07,3.454736324454264e-08,3.454736324454264e-08,6.800670959798736
14,1.356647209233886e-07,3.45473632438823e-08,3.45473632438823e-08,4.847917429956167
15,1.3566472092224363e-07,3.454736324520298e-08,3.454736324520298e-08,3.3807579642502024
16,1.361756491984044e-07,3.454736324520298e-08,3.454736324520298e-08,4.571631158734757
17,1.3617564919709338e-07,3.454736324520298e-08,3.454736324520298e-08,4.170726536715324
18,1.3617564920233747e-07,3.454736324256162e-08,3.454736324256162e-08,2.887754723804242
19,1.3617564919971543e-07,3.454736324652366e-08,3.454736324652366e-08,0.12900708427251303
20,1.361756491984044e-07,3.4593983011885305e-08,3.4593983011885305e-08,0.000599079880298963
21,1.361756491998793e-07,3.459398301254609e-08,3.459398301254609e-08,9.58128914996782e-07
22,1.3617564919824053e-07,3.459398301122452e-08,3.459398301122452e-08,1.869632826208027e-07
23,1.361756491984044e-07,3.4593983011885305e-08,3.4593983011885305e-08,1.8696328262195485e-07
24,1.3617564920102645e-07,3.459398301254609e-08,3.459398301254609e-08,1.8674758434420489e-07
25,1.362343952618236e-07,3.459398301254609e-08,3.459398301254609e-08,1.867475843407505e-07
26,1.36234395262971e-07,3.4593983011885305e-08,3.4593983011885305e-08,1.8674758434382107e-07
27,1.3623439526461013e-07,3.459398301122452e-08,3.459398301122452e-08,1.867475843407505e-07
28,1.3623439526575752e-07,3.459398301254609e-08,3.459398301254609e-08,1.8674758434535635e-07
29,1.3623439526575752e-07,3.466493689010671e-08,3.466493689010671e-08,1.8674758434420489e-07
30,1.362343952619875e-07,3.4664936890768176e-08,3.4664936890768176e-08,1.867475843407505e-07
31,1.3623439526165968e-07,3.466493688944525e-08,3.466493688944525e-08,1.8674758434305342e-07
32,1.3623439526575752e-07,3.46649368920911e-08,3.46649368920911e-08,1.867475843407505e-07
33,1.36234395262971e-07,3.466493688944525e-08,3.466493688944525e-08,1.8664283919504748e-07
34,1.3534240725572315e-07,3.466493689010671e-08,3.466493689010671e-08,1.8664283919159407e-07
35,1.3534240725033176e-07,3.4664936890768176e-08,3.4664936890768176e-08,1.8664283919351263e-07
36,1.353424072567034e-07,3.4664936890768176e-08,3.4664936890768176e-08,1.8664283919121034e-07
37,1.353424072506585e-07,3.4664936890768176e-08,3.4664936890768176e-08,1.8664283919619862e-07
38,1.353424072553964e-07,3.475339444267742e-08,3.475339444267742e-08,1.8664283919159407e-07
39,1.3534240725294576e-07,3.475339444474712e-08,3.475339444474712e-08,1.8664283919466377e-07
40,1.3534240725555978e-07,3.475339444391924e-08,3.475339444391924e-08,1.8664241321270085e-07
41,0.07410689305708666,3.475339444466433e-08,3.475339444466433e-08,8.870207145935069e-06
42,1.2679907402682582,4.326988436320812,4.326988436320812,1.921084438956034e-07
43,1.0946802519922074,34.82069720960379,34.82069720960379,1.9210844389443554e-07
44,4.627608593543034,9.78581591267288,9.78581591267288,1.9210844389754984e-07
45,7.120362998622346,3.6373760860273294,3.6373760860273294,1.9210844389287837e-07
46,5.16301085107583,0.9963517996537039,0.9963517996537039,1.921084438959927e-07
47,4.8837945224249735,1.0238107194163968,1.0238107194163968,1.9210844389443554e-07
48,2.4876468504674483,0.42652936015673876,0.42652936015673876,1.92108443896382e-07
49,65.81973623256425,0.49026118469443103,0.49026118469443103,1.9210844389404625e-07
50,9.561523493901891,2.27439587136324,2.27439587136324,1.921084438959927e-07
51,9.840643938707712,0.7335420405123589,0.7335420405123589,1.919036063385995e-07
52,8.464518592737152,3.3989684744138815,3.3989684744138815,1.9190360633937767e-07
53,3.4525421726186263,6.929671767127719,6.929671767127719,1.919036063370432e-07
54,252.73747742452687,1.2528598429359545,1.2528598429359545,1.9190360633937767e-07
55,86.1379370970439,0.05882383858770226,0.05882383858770226,1.9190360634015585e-07
56,36.49233569612179,0.07282381004648925,0.07282381004648925,1.919036063347087e-07
57,990.5010158723476,0.18346557458546986,0.18346557458546986,1.919036063413231e-07
58,19.769315301141123,0.0214217187887223,0.0214217187887223,1.9190360633821043e-07
59,1.0299186018450017,0.29483016845840687,0.29483016845840687,1.919036063385995e-07
60,3.1575663176183864,0.08962064100208353,0.08962064100208353,1.9173841798125643e-07
61,454.5010625346099,0.15045993795381357,0.15045993795381357,0.054367632363454495
62,33.74356592125612,0.09070901939310927,0.09070901939310927,1.204834539528269
63,252.83040348064043,0.707398898209251,0.707398898209251,0.9500376192655096
64,193.51129711953848,2.189497104165649,2.189497104165649,3.65728772282305
65,64.1765074448777,0.5501441714163388,0.5501441714163388,7.70957031612941
66,87.70195444660375,1.8553384595286855,1.8553384595286855,4.2546358891844
67,0.012223641816658,0.25696467972708315,0.25696467972708315,5.266645468003186
68,362.5938960676542,0.008293716223210245,0.008293716223210245,9.856164077612569
69,83.0720269884381,0.9070139128365783,0.9070139128365783,0.5788475097632252
70,0.47156705738996507,0.9606761462302348,0.9606761462302348,34.103054228719834
71,0.030448429207782762,0.9987350321166489,0.9987350321166489,8.700246945501151
72,42.91198873603008,0.015981130522004183,0.015981130522004183,1.5201692409939325
73,217.64592283321184,0.21490174927524536,0.21490174927524536,2.1132915527391765
74,1.8368018711757481,0.0051091243637998865,0.0051091243637998865,0.7218509186282472
75,6.435302817743842,0.03539846792276549,0.03539846792276549,1.2327079983257248
76,4.490289420277252,1.7862468485300325,1.7862468485300325,2.3198804284902237
77,21.383425024025605,0.7747895518690443,0.7747895518690443,1.3832602158791547
78,0.06577275532413308,0.8141314898149791,0.8141314898149791,0.012160290317311574
79,1.4128178118809591,0.15039774279748447,0.15039774279748447,2.147424574016877
80,0.040696963197368284,0.17415571126346518,0.17415571126346518,0.8530481818645205
81,1.7940989817748847,1.1561478798212153,1.1561478798212153,0.14639995339343925
82,50.65219331031111,0.6720371031011731,0.6720371031011731,0.029011418599705577
83,20.755616548026374,0.5059599707833649,0.5059599707833649,0.3014184706552833
84,5.631738899041769,0.2501064581189392,0.2501064581189392,0.06885580109618446
85,68.39041597938608,0.7259364020818121,0.7259364020818121,0.21054513650936246
86,3.9974324630789955,1.0753517707073568,1.0753517707073568,0.06629896628116815
87,16.24497501853912,6.901946689086751,6.901946689086751,0.1790262831396845
88,2.338852922939198,1.2630993730973725,1.2630993730973725,0.5002279979796069
89,2.151631288465489,2.8820067979253396,2.8820067979253396,0.9447198314928648
90,5.749053075293136,0.03023318977388292,0.03023318977388292,1.3052120965063025
91,4.30125953632765,0.7490336883989666,0.7490336883989666,0.9367696855041496
92,4.688111154184257,2.6522801309709947,2.6522801309709947,0.49130109797210125
93,5.82925479660685,2.7637799915794097,2.7637799915794097,0.02405048546279827
94,2.1668877653690206,8.361911538574853,8.361911538574853,0.08114727638468822
95,0.2479955640712343,44.01782659311232,44.01782659311232,1.1223255736468496
96,0.009442369985000242,1.7111006055232978,1.7111006055232978,0.8709072743145043
97,0.00010026271844045795,0.0005701001793086386,0.0005701001793086386,3.505489192042154
98,1.3644627961750794e-07,1.4402248574365449e-07,1.4402248574365449e-07,3.0439764796306985
99,1.3644627961882026e-07,2.7870680372194244e-08,2.7870680372194244e-08,0.0009297552474345071
100,1.3644627961882026e-07,2.7870680371156304e-08,2.7870680371156304e-08,0.6363332717754944
101,1.3644627962013258e-07,2.7954046957229447e-08,2.7954046957229447e-08,2.747260681711668
102,1.3644627961767197e-07,2.7954046958565936e-08,2.7954046958565936e-08,4.47033576310832
103,1.3644627961734388e-07,2.7954046956709703e-08,2.7954046956709703e-08,5.550014661428074
104,1.3644627962275721e-07,2.795404695908568e-08,2.795404695908568e-08,10.231957320342845
105,1.3644627961882026e-07,2.7954046956709703e-08,2.7954046956709703e-08,23.84000749374872
106,1.3657161446363983e-07,2.7954046957303698e-08,2.7954046957303698e-08,33.016642318177055
107,1.3657161446757861e-07,2.7954046958491685e-08,2.7954046958491685e-08,7.342618859648569
108,1.3657161446757861e-07,2.7954046956709703e-08,2.7954046956709703e-08,11.809550596634715
109,1.365716144662657e-07,2.7954046959679675e-08,2.7954046959679675e-08,7.492933601319255
110,1.3657161446757861e-07,2.7994592868766055e-08,2.7994592868766055e-08,6.80782165529333
111,1.365716144662657e-07,2.799459287054933e-08,2.799459287054933e-08,3.3088204109134973
112,1.3657161446889154e-07,2.799459287002921e-08,2.799459287002921e-08,4.144005265275551
113,1.3657161446363983e-07,2.79945928698806e-08,2.79945928698806e-08,4.485599673998673
114,1.3657161446889154e-07,2.799459286936048e-08,2.799459286936048e-08,2.6167914970866297
115,1.3666429106548476e-07,2.799459287054933e-08,2.799459287054933e-08,0.36216684793171366
116,1.3666429106811152e-07,2.7994592869954905e-08,2.7994592869954905e-08,0.01915871761415294
117,1.3666429106548476e-07,2.7994757846401457e-08,2.7994757846401457e-08,3.167589481490315e-05
118,1.3666429106548476e-07,5.659410938086154e-06,5.659410938086154e-06,1.9086185464780546e-07
119,1.3666429106679814e-07,2.593255434856765e-08,2.593255434856765e-08,1.908618546485815e-07
120,1.3666429106679814e-07,2.593255434871068e-08,2.593255434871068e-08,1.9086185465168571e-07
121,1.3666429106548476e-07,2.5932554348067052e-08,2.5932554348067052e-08,1.9086185465168571e-07
122,1.366642910641714e-07,2.593255434921128e-08,2.593255434921128e-08,1.908618546501336e-07
123,1.3666429106811152e-07,2.5932554348067052e-08,2.5932554348067052e-08,1.9068192963872965e-07
124,1.3680528253280692e-07,2.5932554347494937e-08,2.5932554347494937e-08,1.906819296429959e-07
125,1.3680528253428523e-07,2.5932554348639166e-08,2.5932554348639166e-08,1.9068192964415944e-07
126,1.3680528253264264e-07,2.593255434921128e-08,2.593255434921128e-08,1.906819296383418e-07
127,1.3680528253543502e-07,2.5932554346922823e-08,2.5932554346922823e-08,1.9068192964144455e-07
128,1.3680528253149285e-07,2.600788815072269e-08,2.600788815072269e-08,1.906819296429959e-07
129,1.3680528253412095e-07,2.6007888150149746e-08,2.6007888150149746e-08,1.9068192964454728e-07
130,1.3680528253412095e-07,2.600788815072269e-08,2.600788815072269e-08,1.9068192963989318e-07
131,1.3680528253412095e-07,2.6007888149003856e-08,2.6007888149003856e-08,1.9068192964144455e-07
132,1.3680528253543502e-07,2.60078881495768e-08,2.60078881495768e-08,1.9007724602237044e-07
133,1.369809550037945e-07,2.6007888151295636e-08,2.6007888151295636e-08,1.9007724601965985e-07
134,1.3698095500625991e-07,2.60078881495768e-08,2.60078881495768e-08,1.900772460157876e-07
135,1.3698095500395884e-07,2.6007888150149746e-08,2.6007888150149746e-08,1.9007724602120876e-07
136,1.3698095500773918e-07,2.600788815072269e-08,2.600788815072269e-08,1.900772460173365e-07
137,0.06419918143058895,2.606874896225357e-08,2.606874896225357e-08,1.9007724601965985e-07
138,1.0662845408276207,1.958783078678307,1.958783078678307,1.9007724601965985e-07
139,1.1490871121867068,29.540142907362952,29.540142907362952,1.9007724602004708e-07
140,4.2421981904853885,10.398702535942517,10.398702535942517,1.900772460173365e-07
141,6.7704531968568284,2.413870825630088,2.413870825630088,1.9000785430096157e-07
142,4.788868564312823,0.27330871647292276,0.27330871647292276,1.9000785430173586e-07
143,15.625485341548954,1.074796211995325,1.074796211995325,1.9000785430096157e-07
144,5.442716876969515,0.005062324949568965,0.005062324949568965,1.9000785429747717e-07
145,20.324712262807815,1.6215106364785705,1.6215106364785705,1.9000785429902578e-07
146,16.18711220759113,0.02996789734053714,0.02996789734053714,1.9000785430212304e-07
147,24.441285449868978,0.3937361304179642,0.3937361304179642,1.900078543032845e-07
148,418.91402641316495,0.5150185122238348,0.5150185122238348,1.9000785430096157e-07
149,78.96388525829039,0.641570940448609,0.641570940448609,1.9000785430096157e-07
150,0.5032293707385457,2.3928466300806686,2.3928466300806686,1.897784223577907e-07
151,1.1449910745797314,0.9043653112531865,0.9043653112531865,1.897784223628207e-07
152,1.7649454698931675,0.7926794929416381,0.7926794929416381,1.8977842235972533e-07
153,8.87967660746836,0.1184396595174959,0.1184396595174959,1.897784223643684e-07
154,138.23177599667025,0.19553037140162766,0.19553037140162766,1.8977842235817764e-07
155,459.407035654283,0.1274435007920835,0.1274435007920835,1.8977842235972533e-07
156,1.9935312335041393,1.0664183951326827,1.0664183951326827,1.8977842236011224e-07
157,501.7153939003131,0.03643215068142844,0.03643215068142844,0.07367005833849555
158,164.88836365019424,1.3222434998977146,1.3222434998977146,1.2661817662450043
159,101.07195161388401,0.0050306002021334095,0.0050306002021334095,1.0929994904153795
160,60.18810429172434,0.5619230211805925,0.5619230211805925,4.624152173934814
161,413.6373188199505,0.03854804488692494,0.03854804488692494,7.11607539190892
162,15.157526762720298,1.34432735032126,1.34432735032126,5.159359916999788
163,123.00775572084777,0.7946269910869345,0.7946269910869345,4.880243699632608
164,65.29895476098072,0.006003826259514396,0.006003826259514396,9.334871685826748
165,315.18236434293544,0.0007110056530986783,0.0007110056530986783,12.570330287331176
166,19.95512235549736,0.436613034544374,0.436613034544374,8.749967898459085
167,267.647424658876,0.0005573629148419057,0.0005573629148419057,36.76995493104243
168,34.06171306105982,0.0009942690455715926,0.0009942690455715926,49.81657259939707
169,649.9942265212868,0.2484742577862641,0.2484742577862641,16.474712159072936
170,4.223089360875189,0.012585208334197202,0.012585208334197202,0.7485527735421147
171,1.9505577167812593,0.23451188561320205,0.23451188561320205,1.9095263098410324
172,2.110941184986948,0.1820427570576009,0.1820427570576009,0.9506747437933867
173,24.64703969309509,0.0707337239036523,0.0707337239036523,21.822188903441813
174,23.805220388363168,1.8815494480102382,1.8815494480102382,22.519450347250523
175,31.541902886012345,0.33342948639369674,0.33342948639369674,0.04581548846238676
176,94.90082900932697,0.09207630864293029,0.09207630864293029,3.443160746423706
177,4.214430590283473,1.1316115743128965,1.1316115743128965,0.0820826606399213
178,5.813424646894158,0.07576131938175765,0.07576131938175765,19.864331156156585
179,0.009980461485755848,0.34232306168447213,0.34232306168447213,4.409319967115037
180,0.047734163498205986,2.3825581876520414,2.3825581876520414,28.213491111321034
181,333.5449306169029,0.538742657764624,0.538742657764624,40.240676439481405
182,13.985469976631403,1.7339033760240374,1.7339033760240374,57.745850011137286
183,15.922808671904965,3.5597236932807546,3.5597236932807546,199.43001489654773
184,36.370266116901135,2.177968054720686,2.177968054720686,206.1781553328801
185,116.07202455568522,1.9672026003890157,1.9672026003890157,13.31171697715914
186,83.3996005881427,0.18485155319073746,0.18485155319073746,64.22573664843677
187,0.7432504911808402,0.4780603340191669,0.4780603340191669,0.6538851306039463
188,4.568195711776323,2.607954786510076,2.607954786510076,2.4072385629710866
189,4.16744520844359,1.206152345868397,1.206152345868397,1.1067547003371387
190,2.885024446677263,0.4216457731026879,0.4216457731026879,1.111934636099631
191,0.128430516998142,26.862963918088656,26.862963918088656,0.39573318804978896
192,0.0005603912133564492,18.47964997316093,18.47964997316093,0.09828194068766274
193,3.073563692794673e-08,0.018993162154315655,0.018993162154315655,0.1806463215918023
194,1.3773915954191313e-07,2.5288794940089872e-05,2.5288794940089872e-05,0.45706768735466324
