,Season 3
0,408.01376413560484
1,288.24607268919965
2,70.76003364234232
3,0.17322536277772788
4,9.386461011570162
5,395.61332955008004
6,738.0023646068852
7,1965.1212879804602
8,1634.0512675464831
9,1821.8406953955728
10,1894.9130297342995
11,1593.7847270045106
12,2113.5295742102257
13,2265.056334116455
14,2734.3749104462477
15,2575.517227732388
16,2478.4559755886635
17,2300.0444935759874
18,2148.545717646228
19,2158.3835792512095
20,1615.6289838462487
21,1735.2813087616867
22,536.9272310208268
23,6.10563685743437
24,1327.0812483545196
25,2663.530480454738
26,2791.0021023802365
27,2706.1814404297115
28,1905.776539354897
29,1220.7504564355656
30,847.3907100949831
31,542.787947267908
32,404.9219718703834
33,296.33489113113774
34,218.53965560719044
35,196.8873334267982
36,151.54158114920773
37,126.72100992579206
38,138.7687510477598
39,1.8427935690495183
40,9.16010908299115
41,14.491028286975743
42,10.055317684461778
43,23.522994224356594
44,26.980680757883267
45,11.722605520661803
46,27.93501417413078
47,10.627616180880894
48,0.008498655936967275
49,2.9028247355899937
50,15.696821085127798
51,2.6430021830745756
52,0.8765494853763286
53,0.7706297069456443
54,5.6599477961314175
55,46.681769715724414
56,312.6947499176258
57,886.8940154236298
58,670.6917611775012
59,1634.8554388801006
60,1744.6117552103663
61,1598.572451406645
62,1340.8493657505035
63,693.8659397483867
64,272.98396009334334
65,55.56144521199673
66,11.76076999878155
67,62.84847300700799
68,85.92084854766112
69,40.87038614894653
70,125.54375959958146
71,143.8955660128575
72,162.3913066094216
73,150.30322931553184
74,168.599005135888
75,125.5691587879769
76,102.34341834102695
77,39.16405538685985
78,18.309954312019862
79,9.673101096172807
80,13.06519099754353
81,18.547742358896457
82,7.295202649910443
83,6.925149191045773
84,11.416819534409948
85,4.879416586101592
86,22.648635250939474
87,36.67078265901853
88,16.974370341330026
89,37.365258859357986
90,37.04940610720424
91,38.83053706074648
92,47.00041674748112
93,43.407121560547616
94,38.89336754871505
95,31.097159422784348
96,15.877254440873413
97,28.62529710338451
98,25.30374891794578
99,25.78775971966633
100,27.44478403001707
101,34.74392661148416
102,23.683851832286397
103,23.77832890354295
104,31.42426213370952
105,34.73631427744381
106,31.452112304833634
107,32.65485474750437
108,34.64298637747787
109,33.18350233371534
110,32.0360419420576
111,31.19374039160384
112,31.244715508100093
113,29.369422340579167
114,31.644839073704997
115,32.43492845075687
116,24.300201640812812
117,34.081867985515316
118,30.327446796513133
119,29.470866076219735
120,30.87872740636891
121,24.742595909051616
122,27.20836479691066
123,35.668340478234576
124,31.059726750408874
125,32.32390692846218
126,30.10124921875161
127,29.31231468054757
128,34.15504319105423
129,29.37242981479254
130,31.85104120456906
131,37.379727628477916
132,32.247815120122226
133,32.96272948716283
134,30.209294623694948
135,248.26250165263792
136,173.79093871525222
137,145.7856631449649
138,148.19703302966988
139,136.56035979162505
140,126.69804847744378
141,132.54957354726605
142,120.24709766486819
143,117.34935444300805
144,128.58920262081082
145,112.62896943114104
146,122.1828858766373
147,115.95990540671565
148,113.5056953461759
149,122.85479102770485
150,110.82666450333225
151,109.8478938570258
152,122.49461112295775
153,122.31470977663199
154,113.94577400060844
155,106.09372135913242
156,121.38713294203622
157,113.30344523465986
158,114.20578046613122
159,107.40117519521377
160,117.00293803123182
161,93.91097298029138
162,116.07722283722629
163,122.84225284504424
164,110.8071771270448
165,110.0931349597959
166,105.28642179390125
167,121.83986536422125
168,107.38393121735403
169,114.25976909490412
170,104.47035034072347
171,103.09369431060476
172,119.36360223815188
173,108.56773519183294
174,102.18082284939103
175,122.67087913887913
176,103.32789807905833
177,106.02855992743821
